"Date","Roost","Group","Age","Sex","Band","ID","switch_w","potential","n.days"
3784.20833333333,"R18",2,"A","M",689,"M689",1,2,8
3784.20833333333,"R3A",4,"A","F",570,"F570",1,2,6
3784.20833333333,"R3A",4,"A","F",571,"F571",1,2,8
3784.20833333333,"R3A",4,"A","F",578,"F578",1,2,6
3784.20833333333,"R3A",4,"A","F",583,"F583",1,2,6
3784.20833333333,"R3A",4,"A","F",589,"F589",1,2,6
3784.20833333333,"R3A",4,"A","M",539,"M539",1,2,6
3784.20833333333,"R3A",4,"A","M",573,"M573",1,2,6
3784.20833333333,"R3A",4,"A","M",593,"M593",1,2,6
3784.20833333333,"R48",9,"A","M",568,"M568",0,1,4
3784.20833333333,"RCA",11,"A","M",530,"M530",1,2,7
3785.20833333333,"R3A",4,"A","F",570,"F570",0,1,1
3785.20833333333,"R3A",4,"A","F",572,"F572",1,2,9
3785.20833333333,"R3A",4,"A","F",578,"F578",0,1,1
3785.20833333333,"R3A",4,"A","F",583,"F583",0,1,1
3785.20833333333,"R3A",4,"A","F",589,"F589",0,1,1
3785.20833333333,"R3A",4,"A","M",539,"M539",0,1,1
3785.20833333333,"R3A",4,"A","M",573,"M573",0,1,1
3785.20833333333,"R3A",4,"A","M",593,"M593",0,1,1
3786.20833333333,"R18",2,"A","F",514,"F514",1,2,2
3786.20833333333,"R18",2,"A","F",519,"F519",1,2,2
3786.20833333333,"R18",2,"A","F",542,"F542",0,1,0
3786.20833333333,"R18",2,"A","M",689,"M689",1,2,2
3786.20833333333,"R3A",4,"A","F",571,"F571",1,2,2
3786.20833333333,"R3A",4,"A","F",572,"F572",0,1,1
3786.20833333333,"R3A",4,"A","F",578,"F578",0,1,2
3786.20833333333,"R3A",4,"A","F",583,"F583",0,1,2
3786.20833333333,"R3A",4,"A","M",539,"M539",0,1,2
3786.20833333333,"R3A",4,"A","M",573,"M573",0,1,2
3786.20833333333,"R3A",4,"A","M",593,"M593",0,1,2
3791.20833333333,"R10",1,"A","M",513,"M513",1,2,7
3791.20833333333,"R18",2,"A","F",514,"F514",0,1,5
3791.20833333333,"R18",2,"A","F",519,"F519",0,1,5
3791.20833333333,"R18",2,"A","M",689,"M689",0,1,5
3791.20833333333,"R3A",4,"A","F",570,"F570",1,2,7
3791.20833333333,"R3A",4,"A","F",572,"F572",0,1,6
3791.20833333333,"R3A",4,"A","F",578,"F578",0,1,7
3791.20833333333,"R3A",4,"A","F",583,"F583",0,1,7
3791.20833333333,"R3A",4,"A","M",539,"M539",0,1,7
3791.20833333333,"R3A",4,"A","M",573,"M573",0,1,7
3791.20833333333,"R3A",4,"A","M",593,"M593",0,1,7
3791.20833333333,"R48",9,"A","M",568,"M568",1,2,11
3791.20833333333,"R48",9,"A","M",631,"M631",0,1,0
3791.20833333333,"RCA",11,"A","M",530,"M530",1,2,7
3792.20833333333,"R18",2,"A","F",514,"F514",0,1,6
3792.20833333333,"R18",2,"A","M",689,"M689",0,1,6
3792.20833333333,"R3A",4,"A","F",570,"F570",0,1,1
3792.20833333333,"R3A",4,"A","F",572,"F572",0,1,7
3792.20833333333,"R3A",4,"A","F",578,"F578",0,1,8
3792.20833333333,"R3A",4,"A","F",583,"F583",0,1,8
3792.20833333333,"R3A",4,"A","M",539,"M539",0,1,8
3792.20833333333,"R3A",4,"A","M",573,"M573",0,1,8
3792.20833333333,"R3A",4,"A","M",593,"M593",0,1,8
3796.20833333333,"R18",2,"A","F",514,"F514",1,2,10
3796.20833333333,"R18",2,"A","M",689,"M689",1,2,10
3796.20833333333,"R48",9,"A","M",568,"M568",1,2,5
3796.20833333333,"R48",9,"A","M",631,"M631",1,2,5
3797.20833333333,"R18",2,"A","F",512,"F512",0,1,0
3797.20833333333,"R18",2,"A","F",514,"F514",0,1,1
3797.20833333333,"R18",2,"A","F",516,"F516",0,1,0
3797.20833333333,"R18",2,"A","F",517,"F517",0,1,0
3797.20833333333,"R18",2,"A","F",518,"F518",0,1,0
3797.20833333333,"R18",2,"A","F",519,"F519",1,2,11
3797.20833333333,"R18",2,"A","M",513,"M513",1,2,6
3797.20833333333,"R18",2,"A","M",520,"M520",0,1,0
3798.20833333333,"R10",1,"A","M",513,"M513",1,1,1
3798.20833333333,"R18",2,"A","F",514,"F514",0,1,2
3798.20833333333,"R18",2,"A","F",516,"F516",0,1,1
3798.20833333333,"R18",2,"A","F",517,"F517",0,1,1
3798.20833333333,"R18",2,"A","F",542,"F542",1,2,12
3798.20833333333,"R18",2,"A","M",689,"M689",1,2,2
3798.20833333333,"R3A",4,"A","F",570,"F570",1,2,7
3798.20833333333,"R3A",4,"A","F",571,"F571",1,2,12
3798.20833333333,"R3A",4,"A","F",572,"F572",1,2,13
3798.20833333333,"R3A",4,"A","F",578,"F578",1,2,14
3798.20833333333,"R3A",4,"A","F",583,"F583",1,2,14
3798.20833333333,"R3A",4,"A","M",539,"M539",1,2,14
3798.20833333333,"R3A",4,"A","M",573,"M573",1,2,14
3798.20833333333,"R3A",4,"A","M",593,"M593",1,2,14
3798.20833333333,"R48",9,"A","M",568,"M568",1,2,2
3798.20833333333,"R48",9,"A","M",631,"M631",1,2,2
3798.20833333333,"RCA",11,"A","F",524,"F524",0,1,0
3798.20833333333,"RCA",11,"A","M",523,"M523",0,1,0
3798.20833333333,"RCA",11,"A","M",530,"M530",1,2,7
3799.20833333333,"R3A",4,"A","F",570,"F570",0,1,1
3799.20833333333,"R3A",4,"A","F",578,"F578",0,1,1
3799.20833333333,"R3A",4,"A","F",583,"F583",0,1,1
3799.20833333333,"R3A",4,"A","M",539,"M539",0,1,1
3799.20833333333,"R3A",4,"A","M",573,"M573",0,1,1
3799.20833333333,"R3A",4,"A","M",593,"M593",0,1,1
3800.20833333333,"R18",2,"A","F",512,"F512",1,2,3
3800.20833333333,"R18",2,"A","F",514,"F514",1,2,4
3800.20833333333,"R18",2,"A","M",689,"M689",1,2,2
3801.20833333333,"R3A",4,"A","F",517,"F517",1,2,4
3801.20833333333,"R3A",4,"A","F",538,"F538",0,1,0
3801.20833333333,"R3A",4,"A","F",540,"F540",0,1,0
3801.20833333333,"R3A",4,"A","M",533,"M533",0,1,0
3801.20833333333,"R3A",4,"A","M",539,"M539",1,2,3
3801.20833333333,"R3A",4,"A","M",573,"M573",1,2,3
3802.20833333333,"R10",1,"A","F",519,"F519",1,2,5
3802.20833333333,"R10",1,"A","M",513,"M513",1,2,4
3802.20833333333,"R3A",4,"A","M",533,"M533",0,1,1
3802.20833333333,"R3A",4,"A","M",539,"M539",0,1,1
3802.20833333333,"R3A",4,"A","M",593,"M593",1,2,4
3802.20833333333,"R48",9,"A","F",514,"F514",1,2,2
3802.20833333333,"R48",9,"A","F",516,"F516",1,2,5
3802.20833333333,"R48",9,"A","F",518,"F518",1,2,5
3802.20833333333,"R48",9,"A","F",542,"F542",1,2,4
3802.20833333333,"R48",9,"A","M",568,"M568",1,2,4
3802.20833333333,"R48",9,"A","M",631,"M631",1,2,4
3802.20833333333,"RCA",11,"A","F",512,"F512",1,2,2
3802.20833333333,"RCA",11,"A","F",524,"F524",1,2,4
3802.20833333333,"RCA",11,"A","M",530,"M530",1,2,4
3803.20833333333,"R48",9,"A","F",517,"F517",1,2,2
3803.20833333333,"R48",9,"A","F",518,"F518",0,1,1
3803.20833333333,"R48",9,"A","F",519,"F519",1,1,1
3803.20833333333,"R48",9,"A","F",538,"F538",1,2,2
3803.20833333333,"R48",9,"A","F",540,"F540",1,2,2
3803.20833333333,"R48",9,"A","F",542,"F542",0,1,1
3803.20833333333,"R48",9,"A","M",568,"M568",0,1,1
3803.20833333333,"R48",9,"A","M",631,"M631",0,1,1
3803.20833333333,"RCA",11,"A","M",530,"M530",0,1,1
3803.20833333333,"RPO",13,"A","F",514,"F514",1,1,1
3803.20833333333,"RPO",13,"A","M",520,"M520",1,2,6
3804.20833333333,"R3A",4,"A","M",533,"M533",1,2,3
3804.20833333333,"R3A",4,"A","M",539,"M539",1,2,3
3804.20833333333,"R3A",4,"A","M",593,"M593",1,2,2
3804.20833333333,"R48",9,"A","F",514,"F514",1,1,1
3804.20833333333,"R48",9,"A","M",568,"M568",0,1,2
3804.20833333333,"R48",9,"A","M",631,"M631",0,1,2
3804.20833333333,"RPO",13,"A","F",516,"F516",1,2,2
3804.20833333333,"RPO",13,"A","F",518,"F518",1,1,2
3804.20833333333,"RPO",13,"A","F",538,"F538",1,1,1
3804.20833333333,"RPO",13,"A","F",542,"F542",1,1,2
3804.20833333333,"RPO",13,"A","F",544,"F544",0,1,0
3804.20833333333,"RPO",13,"A","M",543,"M543",0,1,0
3805.20833333333,"R10",1,"A","F",514,"F514",1,1,1
3805.20833333333,"R10",1,"A","F",517,"F517",1,2,2
3805.20833333333,"R10",1,"A","F",519,"F519",1,2,2
3805.20833333333,"R10",1,"A","F",542,"F542",1,1,1
3805.20833333333,"R10",1,"A","M",513,"M513",1,2,3
3805.20833333333,"R10",1,"A","M",520,"M520",1,2,2
3805.20833333333,"R48",9,"A","F",538,"F538",1,1,1
3805.20833333333,"R48",9,"A","F",540,"F540",1,2,2
3805.20833333333,"R48",9,"A","M",568,"M568",0,1,3
3805.20833333333,"R48",9,"A","M",631,"M631",0,1,3
3805.20833333333,"RPO",13,"A","F",518,"F518",0,1,1
3805.20833333333,"RPO",13,"A","M",543,"M543",0,1,1
3808.20833333333,"R10",1,"A","F",517,"F517",0,1,3
3808.20833333333,"R10",1,"A","F",519,"F519",0,1,3
3808.20833333333,"R10",1,"A","F",542,"F542",0,1,3
3808.20833333333,"R10",1,"A","M",513,"M513",0,1,3
